Student,Course,Strand,English/35,Math/35,Science/35,Overall
619,AB-COM,n/a,21,11,17,49
118,AB-COM,n/a,16,15,14,45
34,AB-HIST,n/a,25,15,16,56
269,AB-MASSCOM,n/a,27,17,13,57
421,AB-MASSCOM,n/a,20,18,15,53
67,AB-MASSCOM,n/a,19,17,15,51
441,AB-MASSCOM,n/a,19,15,11,45
76,AB-MASSCOM,n/a,18,11,10,39
522,AB-POLSCI,n/a,33,19,19,71
216,AB-POLSCI,n/a,29,22,16,67
680,AB-POLSCI,n/a,27,20,18,65
612,AB-POLSCI,n/a,24,11,23,58
455,AB-POLSCI,n/a,26,14,17,57
332,AB-POLSCI,n/a,23,15,18,56
354,AB-POLSCI,n/a,30,10,16,56
65,AB-POLSCI,n/a,23,14,16,53
4,AB-POLSCI,n/a,25,15,11,51
115,AB-POLSCI,n/a,20,12,19,51
410,AB-POLSCI,n/a,24,13,13,50
508,AB-POLSCI,n/a,22,14,12,48
95,AB-POLSCI,n/a,27,10,10,47
93,AB-POLSCI,n/a,18,8,16,42
310,AB-POLSCI,n/a,13,15,11,39
94,AB-POLSCI,n/a,19,5,12,36
395,BECE,n/a,23,15,19,57
359,BEED,n/a,24,17,18,59
452,BEED,n/a,20,19,17,56
130,BEED,n/a,20,16,17,53
129,BEED,n/a,15,18,16,49
656,BEED,n/a,22,17,7,46
625,BEED,n/a,16,14,14,44
687,BEED,n/a,15,14,11,40
694,BLIS,n/a,27,16,15,58
679,BPE,n/a,26,22,16,64
560,BPE,n/a,26,22,15,63
583,BPE,n/a,24,17,18,59
562,BPE,n/a,23,20,15,58
402,BPE,n/a,19,18,19,56
521,BPE,n/a,30,13,13,56
285,BPE,n/a,21,16,16,53
398,BPE,n/a,25,14,13,52
172,BPE,n/a,20,13,17,50
669,BPE,n/a,20,19,9,48
23,BPE,n/a,20,13,13,46
235,BPE,n/a,19,16,11,46
456,BPE,n/a,15,13,17,45
478,BPE,n/a,19,14,12,45
109,BPE,n/a,17,14,13,44
448,BPE,n/a,15,17,12,44
260,BPE,n/a,16,16,11,43
460,BPE,n/a,20,9,14,43
474,BPE,n/a,21,10,12,43
626,BPE,n/a,13,15,15,43
302,BPE,n/a,22,7,11,40
303,BPE,n/a,17,11,12,40
382,BPE,n/a,21,4,15,40
7,BPE,n/a,19,11,9,39
288,BPE,n/a,11,14,13,38
458,BPE,n/a,18,14,6,38
639,BPE,n/a,13,13,12,38
297,BPE,n/a,13,15,9,37
270,BPED,n/a,32,18,14,64
268,BPED,n/a,27,19,14,60
131,BPED,n/a,26,15,15,56
265,BPED,n/a,25,19,12,56
267,BPED,n/a,26,18,11,55
248,BPED,n/a,22,18,10,50
128,BPED,n/a,21,10,17,48
132,BPED,n/a,15,17,11,43
47,BPED,n/a,11,8,10,29
264,BSA,n/a,29,29,24,82
226,BSA,n/a,33,19,27,79
655,BSA,n/a,29,25,22,76
564,BSA,n/a,29,27,13,69
174,BSA,n/a,30,19,18,67
59,BSA,n/a,29,15,21,65
163,BSA,n/a,31,17,17,65
550,BSA,n/a,27,21,17,65
60,BSA,n/a,27,18,19,64
263,BSA,n/a,26,15,22,63
447,BSA,n/a,30,17,16,63
90,BSA,n/a,23,22,17,62
165,BSA,n/a,25,19,17,61
181,BSA,n/a,27,20,14,61
18,BSA,n/a,19,21,19,59
536,BSA,n/a,29,19,11,59
537,BSA,n/a,28,16,15,59
651,BSA,n/a,20,22,17,59
159,BSA,n/a,24,17,15,56
406,BSA,n/a,18,19,18,55
438,BSA,n/a,25,16,14,55
549,BSA,n/a,25,18,12,55
405,BSA,n/a,16,19,19,54
420,BSA,n/a,24,20,10,54
292,BSA,n/a,23,18,12,53
366,BSA,n/a,21,19,13,53
369,BSA,n/a,25,14,14,53
633,BSA,n/a,20,24,9,53
160,BSA,n/a,27,14,11,52
524,BSA,n/a,21,18,11,50
435,BSA,n/a,27,12,10,49
10,BSA,n/a,17,15,16,48
108,BSA,n/a,22,13,13,48
237,BSA,n/a,16,17,15,48
413,BSA,n/a,20,13,15,48
534,BSA,n/a,16,16,16,48
119,BSA,n/a,15,20,12,47
437,BSA,n/a,22,11,14,47
503,BSA,n/a,20,12,15,47
545,BSA,n/a,19,15,13,47
21,BSA,n/a,22,15,9,46
212,BSA,n/a,14,17,15,46
628,BSA,n/a,11,16,19,46
684,BSA,n/a,19,14,12,45
253,BSA,n/a,20,10,13,43
572,BSA,n/a,14,13,15,42
638,BSA,n/a,24,7,10,41
688,BSA,n/a,22,8,11,41
525,BSA,n/a,14,12,14,40
573,BSA,n/a,13,13,13,39
599,BSA,n/a,20,8,11,39
644,BSA,n/a,15,14,10,39
193,BSA,n/a,13,11,14,38
365,BSA,n/a,11,10,16,37
377,BSA,n/a,15,9,13,37
154,BSA,n/a,19,11,6,36
502,BSACT,n/a,12,15,18,45
199,BSBA,n/a,22,20,19,61
427,BSBA,n/a,26,18,15,59
214,BSBA,n/a,20,21,14,55
66,BSBA,n/a,20,18,16,54
587,BSBA,n/a,27,6,19,52
262,BSBA,n/a,21,18,12,51
423,BSBA,n/a,21,13,17,51
609,BSBA,n/a,23,15,13,51
340,BSBA,n/a,15,23,12,50
274,BSBA,n/a,23,10,16,49
390,BSBA,n/a,19,11,19,49
692,BSBA,n/a,19,15,15,49
325,BSBA,n/a,17,16,15,48
48,BSBA,n/a,17,20,10,47
233,BSBA,n/a,18,19,10,47
341,BSBA,n/a,20,12,15,47
391,BSBA,n/a,22,14,11,47
78,BSBA,n/a,12,20,14,46
585,BSBA,n/a,19,16,11,46
300,BSBA,n/a,21,9,15,45
223,BSBA,n/a,18,12,14,44
69,BSBA,n/a,16,9,18,43
686,BSBA,n/a,19,13,11,43
228,BSBA,n/a,19,10,13,42
9,BSBA,n/a,12,14,14,40
311,BSBA,n/a,12,19,9,40
674,BSBA,n/a,18,11,11,40
283,BSBA,n/a,14,15,10,39
640,BSBA,n/a,11,12,15,38
282,BSBA,n/a,13,11,13,37
312,BSBA,n/a,10,15,12,37
384,BSBA-FM,n/a,27,21,17,65
647,BSBA-FM,n/a,24,17,22,63
648,BSBA-FM,n/a,28,14,21,63
219,BSBA-FM,n/a,26,17,18,61
134,BSBA-FM,n/a,17,24,18,59
338,BSBA-FM,n/a,22,21,16,59
355,BSBA-FM,n/a,25,16,18,59
590,BSBA-FM,n/a,24,15,19,58
114,BSBA-FM,n/a,19,21,17,57
142,BSBA-FM,n/a,25,16,14,55
335,BSBA-FM,n/a,22,15,17,54
259,BSBA-FM,n/a,25,11,16,52
306,BSBA-FM,n/a,22,14,16,52
169,BSBA-FM,n/a,19,15,17,51
215,BSBA-FM,n/a,21,13,17,51
289,BSBA-FM,n/a,21,17,13,51
330,BSBA-FM,n/a,20,12,19,51
20,BSBA-FM,n/a,26,9,15,50
141,BSBA-FM,n/a,20,16,14,50
113,BSBA-FM,n/a,25,12,12,49
339,BSBA-FM,n/a,22,16,11,49
356,BSBA-FM,n/a,14,20,15,49
331,BSBA-FM,n/a,21,11,16,48
489,BSBA-FM,n/a,17,13,18,48
444,BSBA-FM,n/a,18,17,12,47
328,BSBA-FM,n/a,18,19,9,46
173,BSBA-FM,n/a,18,17,10,45
357,BSBA-FM,n/a,19,14,12,45
662,BSBA-FM,n/a,20,12,13,45
81,BSBA-FM,n/a,20,11,13,44
598,BSBA-FM,n/a,15,16,13,44
309,BSBA-FM,n/a,17,13,13,43
487,BSBA-FM,n/a,15,12,16,43
210,BSBA-FM,n/a,17,10,15,42
396,BSBA-FM,n/a,19,11,12,42
495,BSBA-FM,n/a,13,21,8,42
333,BSBA-FM,n/a,16,11,14,41
593,BSBA-FM,n/a,16,9,16,41
313,BSBA-FM,n/a,15,11,13,39
433,BSBA-FM,n/a,17,12,9,38
484,BSBA-FM,n/a,12,9,17,38
663,BSBA-FM,n/a,16,9,13,38
490,BSBA-FM,n/a,8,15,14,37
496,BSBA-FM,n/a,14,10,11,35
494,BSBA-FM,n/a,13,9,11,33
543,BSBA-FM,n/a,16,10,7,33
486,BSBA-FM,n/a,11,10,11,32
665,BSBA-HRDM,n/a,26,20,19,65
353,BSBA-HRDM,n/a,23,21,14,58
480,BSBA-HRDM,n/a,28,15,15,58
329,BSBA-HRDM,n/a,27,12,18,57
666,BSBA-HRDM,n/a,25,12,20,57
318,BSBA-HRDM,n/a,20,14,17,51
541,BSBA-HRDM,n/a,22,11,17,50
319,BSBA-HRDM,n/a,18,12,14,44
327,BSBA-HRDM,n/a,11,16,17,44
667,BSBA-HRDM,n/a,18,11,15,44
314,BSBA-HRDM,n/a,16,14,10,40
617,BSBA-HRDM,n/a,17,12,10,39
618,BSBA-HRDM,n/a,17,11,11,39
557,BSBA-MM,n/a,28,25,21,74
578,BSBA-MM,n/a,27,24,14,65
457,BSBA-MM,n/a,23,23,11,57
513,BSBA-MM,n/a,18,20,19,57
258,BSBA-MM,n/a,15,16,19,50
453,BSBA-MM,n/a,19,15,16,50
526,BSBA-MM,n/a,22,12,15,49
544,BSBA-MM,n/a,22,14,13,49
559,BSBA-MM,n/a,21,14,11,46
514,BSBA-MM,n/a,13,19,13,45
546,BSBA-MM,n/a,17,14,13,44
506,BSBA-MM,n/a,20,12,11,43
542,BSBA-MM,n/a,20,10,9,39
504,BSBA-MM,n/a,14,15,8,37
498,BSBA-MM,n/a,16,13,6,35
505,BSBA-MM,n/a,14,11,9,34
334,BSCA,n/a,31,15,18,64
161,BSCA,n/a,30,16,15,61
675,BSCA,n/a,25,13,19,57
412,BSCA,n/a,30,15,11,56
539,BSCA,n/a,26,16,13,55
13,BSCA,n/a,25,14,15,54
363,BSCA,n/a,24,15,14,53
428,BSCA,n/a,24,16,13,53
439,BSCA,n/a,25,12,16,53
1,BSCA,n/a,23,15,14,52
500,BSCA,n/a,24,10,18,52
61,BSCA,n/a,21,14,16,51
88,BSCA,n/a,18,15,17,50
272,BSCA,n/a,20,14,16,50
653,BSCA,n/a,26,15,9,50
290,BSCA,n/a,20,15,13,48
472,BSCA,n/a,18,13,17,48
475,BSCA,n/a,21,14,13,48
518,BSCA,n/a,20,9,19,48
683,BSCA,n/a,19,14,15,48
62,BSCA,n/a,18,14,15,47
520,BSCA,n/a,16,12,19,47
14,BSCA,n/a,20,16,10,46
400,BSCA,n/a,17,10,19,46
682,BSCA,n/a,18,16,11,45
399,BSCA,n/a,22,8,14,44
689,BSCA,n/a,10,15,19,44
278,BSCA,n/a,18,13,12,43
211,BSCA,n/a,12,16,13,41
280,BSCA,n/a,14,12,15,41
3,BSCA,n/a,18,8,14,40
17,BSCA,n/a,13,11,16,40
122,BSCA,n/a,20,14,6,40
121,BSCA,n/a,9,19,9,37
681,BSCA,n/a,11,10,14,35
393,BSCA,n/a,17,10,5,32
442,BSCA,n/a,7,13,11,31
362,BSCpE,n/a,28,22,23,73
243,BSCpE,n/a,27,17,22,66
471,BSCpE,n/a,29,14,22,65
101,BSCpE,n/a,28,13,19,60
658,BSCpE,n/a,22,22,12,56
217,BSCpE,n/a,26,13,14,53
401,BSCpE,n/a,18,11,13,42
461,BSCpE,n/a,15,14,12,41
188,BSCpE,n/a,12,13,12,37
230,BSCRIM,n/a,32,22,20,74
361,BSCRIM,n/a,27,15,20,62
594,BSCRIM,n/a,22,20,20,62
35,BSCRIM,n/a,28,19,14,61
528,BSCRIM,n/a,23,22,15,60
643,BSCRIM,n/a,23,18,18,59
179,BSCRIM,n/a,27,16,14,57
229,BSCRIM,n/a,20,16,21,57
207,BSCRIM,n/a,24,16,16,56
255,BSCRIM,n/a,17,19,20,56
371,BSCRIM,n/a,24,16,16,56
425,BSCRIM,n/a,19,22,15,56
620,BSCRIM,n/a,17,17,22,56
245,BSCRIM,n/a,20,15,20,55
373,BSCRIM,n/a,18,18,19,55
381,BSCRIM,n/a,18,17,20,55
529,BSCRIM,n/a,23,17,15,55
164,BSCRIM,n/a,23,16,15,54
186,BSCRIM,n/a,33,7,14,54
222,BSCRIM,n/a,20,17,17,54
473,BSCRIM,n/a,14,27,13,54
55,BSCRIM,n/a,30,12,11,53
240,BSCRIM,n/a,21,16,16,53
350,BSCRIM,n/a,17,21,15,53
483,BSCRIM,n/a,25,17,11,53
635,BSCRIM,n/a,21,14,18,53
649,BSCRIM,n/a,19,14,20,53
5,BSCRIM,n/a,17,19,16,52
378,BSCRIM,n/a,19,17,16,52
15,BSCRIM,n/a,21,17,13,51
30,BSCRIM,n/a,18,19,14,51
224,BSCRIM,n/a,18,16,17,51
321,BSCRIM,n/a,23,13,15,51
385,BSCRIM,n/a,22,17,12,51
595,BSCRIM,n/a,21,17,13,51
252,BSCRIM,n/a,17,15,18,50
68,BSCRIM,n/a,17,20,12,49
176,BSCRIM,n/a,17,20,12,49
220,BSCRIM,n/a,22,12,15,49
308,BSCRIM,n/a,23,15,11,49
315,BSCRIM,n/a,19,16,14,49
320,BSCRIM,n/a,25,14,10,49
322,BSCRIM,n/a,23,11,15,49
168,BSCRIM,n/a,17,18,13,48
198,BSCRIM,n/a,17,17,14,48
218,BSCRIM,n/a,16,15,17,48
482,BSCRIM,n/a,22,15,11,48
596,BSCRIM,n/a,23,10,15,48
32,BSCRIM,n/a,21,13,13,47
110,BSCRIM,n/a,25,10,12,47
125,BSCRIM,n/a,17,18,12,47
221,BSCRIM,n/a,13,14,20,47
279,BSCRIM,n/a,18,18,11,47
629,BSCRIM,n/a,16,15,16,47
664,BSCRIM,n/a,21,11,15,47
28,BSCRIM,n/a,17,19,10,46
52,BSCRIM,n/a,18,13,15,46
254,BSCRIM,n/a,18,14,14,46
116,BSCRIM,n/a,22,11,12,45
153,BSCRIM,n/a,17,14,14,45
182,BSCRIM,n/a,18,13,14,45
343,BSCRIM,n/a,17,15,13,45
469,BSCRIM,n/a,13,16,16,45
197,BSCRIM,n/a,20,13,11,44
372,BSCRIM,n/a,17,10,17,44
517,BSCRIM,n/a,17,15,12,44
634,BSCRIM,n/a,14,19,11,44
124,BSCRIM,n/a,12,17,14,43
247,BSCRIM,n/a,13,12,18,43
346,BSCRIM,n/a,16,16,11,43
431,BSCRIM,n/a,18,13,12,43
627,BSCRIM,n/a,21,11,11,43
6,BSCRIM,n/a,15,13,14,42
16,BSCRIM,n/a,21,12,9,42
241,BSCRIM,n/a,20,12,10,42
597,BSCRIM,n/a,21,10,11,42
603,BSCRIM,n/a,18,10,14,42
604,BSCRIM,n/a,15,14,13,42
601,BSCRIM,n/a,12,16,13,41
632,BSCRIM,n/a,14,13,14,41
637,BSCRIM,n/a,19,11,11,41
246,BSCRIM,n/a,17,12,11,40
24,BSCRIM,n/a,18,14,7,39
317,BSCRIM,n/a,11,10,18,39
208,BSCRIM,n/a,16,11,11,38
485,BSCRIM,n/a,15,10,13,38
602,BSCRIM,n/a,14,13,11,38
631,BSCRIM,n/a,17,6,15,38
26,BSCRIM,n/a,14,12,11,37
36,BSCRIM,n/a,13,10,14,37
103,BSCRIM,n/a,16,12,9,37
462,BSCRIM,n/a,12,13,12,37
276,BSCRIM,n/a,12,14,10,36
668,BSCRIM,n/a,13,11,12,36
27,BSCRIM,n/a,14,15,6,35
196,BSCRIM,n/a,15,9,11,35
249,BSCRIM,n/a,9,13,13,35
605,BSCRIM,n/a,13,11,11,35
177,BSCRIM,n/a,11,11,11,33
630,BSCRIM,n/a,12,12,9,33
676,BSCRIM,n/a,9,13,11,33
347,BSCRIM,n/a,7,11,14,32
42,BSCRIM,n/a,13,7,11,31
57,BSCRIM,n/a,9,12,10,31
397,BSECE,n/a,27,20,19,66
244,BSECE,n/a,24,18,17,59
250,BSECE,n/a,22,16,18,56
404,BSECE,n/a,17,18,17,52
189,BSECE,n/a,13,13,16,42
227,BSED,n/a,29,20,27,76
100,BSED,n/a,32,16,19,67
449,BSED,n/a,32,17,16,65
558,BSED,n/a,25,19,15,59
98,BSED,n/a,22,19,16,57
450,BSED,n/a,20,23,14,57
112,BSED,n/a,24,16,15,55
192,BSED,n/a,23,17,15,55
451,BSED,n/a,22,15,18,55
419,BSED,n/a,27,14,13,54
445,BSED,n/a,24,18,12,54
459,BSED,n/a,26,13,15,54
591,BSED,n/a,16,18,20,54
190,BSED,n/a,19,14,20,53
408,BSED,n/a,20,17,16,53
641,BSED,n/a,20,15,18,53
175,BSED,n/a,25,12,15,52
499,BSED,n/a,23,19,10,52
608,BSED,n/a,16,20,16,52
155,BSED,n/a,21,19,11,51
415,BSED,n/a,27,15,9,51
111,BSED,n/a,18,14,17,49
158,BSED,n/a,21,11,17,49
493,BSED,n/a,22,13,14,49
657,BSED,n/a,21,14,14,49
170,BSED,n/a,17,15,16,48
567,BSED,n/a,24,11,13,48
642,BSED,n/a,16,15,16,47
414,BSED,n/a,19,19,8,46
588,BSED,n/a,21,11,14,46
600,BSED,n/a,23,9,14,46
25,BSED,n/a,15,21,9,45
167,BSED,n/a,15,17,13,45
54,BSED,n/a,16,16,12,44
468,BSED,n/a,16,15,13,44
307,BSED,n/a,16,14,12,42
380,BSED,n/a,14,13,15,42
574,BSED,n/a,19,12,11,42
409,BSED,n/a,15,13,13,41
470,BSED,n/a,16,12,13,41
678,BSED,n/a,20,11,10,41
70,BSED,n/a,16,13,11,40
191,BSED,n/a,19,15,6,40
195,BSED,n/a,11,19,10,40
388,BSED,n/a,14,10,16,40
566,BSED,n/a,12,16,12,40
636,BSED,n/a,18,12,10,40
527,BSED,n/a,18,7,14,39
51,BSED,n/a,17,10,11,38
613,BSED,n/a,16,11,11,38
554,BSED,n/a,15,8,13,36
105,BSED,n/a,18,9,7,34
194,BSED,n/a,16,8,10,34
467,BSED,n/a,7,10,15,32
73,BSED-CAT.,n/a,15,12,13,40
148,BSED-ENGLISH,n/a,33,14,18,65
89,BSED-ENGLISH,n/a,29,15,19,63
257,BSED-ENGLISH,n/a,28,16,17,61
120,BSED-ENGLISH,n/a,28,12,19,59
581,BSED-ENGLISH,n/a,24,22,13,59
71,BSED-ENGLISH,n/a,24,17,10,51
45,BSED-ENGLISH,n/a,21,13,16,50
92,BSED-ENGLISH,n/a,22,13,15,50
200,BSED-ENGLISH,n/a,19,13,17,49
568,BSED-ENGLISH,n/a,26,11,11,48
44,BSED-ENGLISH,n/a,24,9,14,47
38,BSED-ENGLISH,n/a,17,11,18,46
43,BSED-ENGLISH,n/a,24,11,11,46
72,BSED-ENGLISH,n/a,28,4,14,46
50,BSED-ENGLISH,n/a,23,9,13,45
49,BSED-ENGLISH,n/a,24,10,10,44
659,BSED-ENGLISH,n/a,16,10,11,37
523,BSED-FIL,n/a,28,13,10,51
273,BSED-FIL,n/a,26,10,13,49
145,BSED-FIL,n/a,23,10,7,40
180,BSED-FIL,n/a,11,14,14,39
579,BSED-MATH,n/a,27,25,15,67
519,BSED-MATH,n/a,28,21,14,63
614,BSED-MATH,n/a,22,17,15,54
143,BSED-MATH,n/a,15,15,11,41
623,BSED-SCIENCE,n/a,24,15,20,59
41,BSED-SCIENCE,n/a,29,14,14,57
624,BSED-SCIENCE,n/a,22,15,17,54
576,BSED-SCIENCE,n/a,13,16,16,45
575,BSED-SCIENCE,n/a,17,14,13,44
577,BSED-SCIENCE,n/a,15,8,18,41
580,BSED-SOCIAL STUDIES,n/a,26,22,15,63
19,BSED-SOCIAL STUDIES,n/a,26,11,16,53
563,BSHM,n/a,23,21,14,58
8,BSHM,n/a,21,16,18,55
22,BSHM,n/a,19,15,19,53
84,BSHM,n/a,22,14,17,53
79,BSHM,n/a,29,16,6,51
242,BSHM,n/a,24,9,18,51
29,BSHM,n/a,21,16,13,50
416,BSHM,n/a,18,18,13,49
440,BSHM,n/a,23,11,15,49
685,BSHM,n/a,22,15,12,49
12,BSHM,n/a,22,17,9,48
650,BSHM,n/a,14,20,14,48
660,BSHM,n/a,22,14,12,48
671,BSHM,n/a,20,18,9,47
379,BSHM,n/a,17,14,15,46
672,BSHM,n/a,24,13,9,46
351,BSHM,n/a,24,10,11,45
615,BSHM,n/a,19,14,12,45
673,BSHM,n/a,25,9,11,45
37,BSHM,n/a,21,9,14,44
86,BSHM,n/a,11,16,17,44
251,BSHM,n/a,21,13,10,44
426,BSHM,n/a,18,14,12,44
477,BSHM,n/a,17,13,13,43
40,BSHM,n/a,16,13,13,42
85,BSHM,n/a,12,16,13,41
476,BSHM,n/a,15,18,8,41
533,BSHM,n/a,14,13,14,41
565,BSHM,n/a,18,10,13,41
87,BSHM,n/a,15,12,13,40
83,BSHM,n/a,16,9,13,38
509,BSHM,n/a,12,12,13,37
39,BSHM,n/a,18,9,9,36
271,BSHM,n/a,15,10,11,36
661,BSHM,n/a,9,15,12,36
97,BSHM,n/a,15,8,12,35
436,BSHM,n/a,7,12,13,32
654,BSHM,n/a,10,12,10,32
305,BSHRM,n/a,21,13,24,58
324,BSHRM,n/a,20,15,22,57
287,BSHRM,n/a,17,13,18,48
286,BSHRM,n/a,24,10,13,47
293,BSHRM,n/a,17,9,21,47
284,BSHRM,n/a,14,14,14,42
291,BSHRM,n/a,16,8,14,38
298,BSHRM,n/a,12,18,5,35
281,BSHRM,n/a,14,13,7,34
33,BSIT,n/a,28,19,12,59
454,BSIT,n/a,27,16,16,59
512,BSIT,n/a,24,21,13,58
511,BSIT,n/a,23,21,12,56
123,BSIT,n/a,24,15,16,55
323,BSIT,n/a,25,16,14,55
232,BSIT,n/a,30,13,11,54
535,BSIT,n/a,28,13,13,54
206,BSIT,n/a,24,17,12,53
301,BSIT,n/a,18,15,20,53
616,BSIT,n/a,24,16,11,51
185,BSIT,n/a,17,15,16,48
592,BSIT,n/a,21,16,11,48
531,BSIT,n/a,19,13,15,47
446,BSIT,n/a,20,15,9,44
236,BSIT,n/a,18,12,11,41
418,BSIT,n/a,14,20,6,40
432,BSIT,n/a,12,15,13,40
434,BSIT,n/a,19,6,15,40
11,BSIT,n/a,17,9,13,39
516,BSIT,n/a,14,14,11,39
532,BSIT,n/a,14,9,16,39
178,BSIT,n/a,13,10,14,37
515,BSIT,n/a,15,7,10,32
670,BSIT,n/a,12,11,9,32
551,BSMT,n/a,33,22,22,77
187,BSMT,n/a,32,23,19,74
389,BSMT,n/a,25,21,15,61
266,BSMT,n/a,25,19,12,56
403,BSMT,n/a,26,15,15,56
239,BSMT,n/a,25,14,14,53
530,BSMT,n/a,16,20,17,53
209,BSMT,n/a,16,18,18,52
430,BSMT,n/a,23,18,11,52
234,BSMT,n/a,20,15,16,51
138,BSMT,n/a,18,19,13,50
147,BSMT,n/a,19,17,14,50
417,BSMT,n/a,22,13,14,49
507,BSMT,n/a,21,12,16,49
586,BSMT,n/a,18,19,12,49
74,BSMT,n/a,15,14,19,48
348,BSMT,n/a,16,16,16,48
58,BSMT,n/a,16,14,17,47
139,BSMT,n/a,24,11,12,47
277,BSMT,n/a,13,18,16,47
202,BSMT,n/a,21,10,15,46
336,BSMT,n/a,15,17,14,46
387,BSMT,n/a,20,12,14,46
99,BSMT,n/a,15,16,14,45
548,BSMT,n/a,13,20,12,45
135,BSMT,n/a,16,17,11,44
133,BSMT,n/a,18,13,12,43
201,BSMT,n/a,14,12,17,43
231,BSMT,n/a,18,13,12,43
481,BSMT,n/a,18,11,14,43
621,BSMT,n/a,16,15,12,43
693,BSMT,n/a,16,17,10,43
96,BSMT,n/a,19,8,15,42
184,BSMT,n/a,16,9,17,42
316,BSMT,n/a,22,10,10,42
677,BSMT,n/a,14,15,13,42
2,BSMT,n/a,14,13,14,41
386,BSMT,n/a,18,11,12,41
645,BSMT,n/a,17,11,13,41
136,BSMT,n/a,14,14,12,40
358,BSMT,n/a,16,13,11,40
422,BSMT,n/a,16,19,5,40
429,BSMT,n/a,12,13,15,40
146,BSMT,n/a,16,12,11,39
392,BSMT,n/a,16,12,11,39
443,BSMT,n/a,11,16,12,39
606,BSMT,n/a,14,14,11,39
137,BSMT,n/a,16,8,14,38
140,BSMT,n/a,11,11,15,37
337,BSMT,n/a,17,10,10,37
479,BSMT,n/a,8,15,14,37
360,BSMT,n/a,12,15,9,36
117,BSMT,n/a,12,12,11,35
464,BSMT,n/a,7,14,14,35
344,BSMT,n/a,14,15,5,34
349,BSMT,n/a,12,8,14,34
91,BSMT,n/a,15,8,6,29
275,BSNED,n/a,27,16,19,62
540,BSNED,n/a,10,9,7,26
556,BSPSYCH,n/a,24,24,14,62
225,BSPSYCH,n/a,24,21,16,61
370,BSPSYCH,n/a,24,20,17,61
156,BSPSYCH,n/a,27,16,15,58
299,BSPSYCH,n/a,25,13,19,57
497,BSPSYCH,n/a,27,17,12,56
501,BSPSYCH,n/a,23,16,17,56
607,BSPSYCH,n/a,23,16,16,55
561,BSPSYCH,n/a,21,21,12,54
411,BSPSYCH,n/a,25,11,17,53
294,BSPSYCH,n/a,26,16,10,52
555,BSPSYCH,n/a,21,20,11,52
64,BSPSYCH,n/a,22,14,15,51
149,BSPSYCH,n/a,20,11,18,49
80,BSPSYCH,n/a,23,12,13,48
611,BSPSYCH,n/a,19,15,14,48
171,BSPSYCH,n/a,14,19,14,47
296,BSPSYCH,n/a,19,14,13,46
345,BSPSYCH,n/a,18,13,15,46
144,BSPSYCH,n/a,22,8,15,45
261,BSPSYCH,n/a,18,11,16,45
152,BSPSYCH,n/a,20,13,11,44
295,BSPSYCH,n/a,17,10,17,44
75,BSPSYCH,n/a,16,13,13,42
31,BSPSYCH,n/a,17,13,11,41
342,BSPSYCH,n/a,14,14,12,40
63,BSREM,n/a,18,16,18,52
582,BSREM,n/a,23,9,16,48
376,BSREM,n/a,22,12,10,44
463,BSREM,n/a,12,15,12,39
127,BSSW,n/a,29,18,14,61
375,BSSW,n/a,24,18,18,60
374,BSSW,n/a,27,16,15,58
690,BSSW,n/a,26,17,15,58
151,BSSW,n/a,24,17,15,56
584,BSSW,n/a,24,13,17,54
652,BSSW,n/a,21,22,11,54
213,BSSW,n/a,21,13,19,53
162,BSSW,n/a,27,12,13,52
46,BSSW,n/a,23,14,12,49
492,BSSW,n/a,23,8,18,49
205,BSSW,n/a,15,13,20,48
367,BSSW,n/a,20,12,16,48
569,BSSW,n/a,14,16,18,48
106,BSSW,n/a,17,15,15,47
691,BSSW,n/a,18,18,11,47
107,BSSW,n/a,20,13,12,45
204,BSSW,n/a,21,11,13,45
491,BSSW,n/a,19,15,10,44
183,BSSW,n/a,19,8,16,43
571,BSSW,n/a,22,11,10,43
82,BSSW,n/a,20,13,9,42
203,BSSW,n/a,18,12,11,41
238,BSSW,n/a,13,14,14,41
570,BSSW,n/a,22,8,11,41
589,BSSW,n/a,19,8,14,41
510,BSSW,n/a,13,12,15,40
622,BSSW,n/a,13,13,14,40
166,BSSW,n/a,17,7,15,39
104,BSSW,n/a,15,7,16,38
326,BSSW,n/a,12,15,11,38
488,BSSW,n/a,17,11,10,38
646,BSSW,n/a,14,11,13,38
538,BSSW,n/a,13,12,12,37
465,BSSW,n/a,8,14,13,35
364,BSTM,n/a,33,16,19,68
424,BSTM,n/a,26,11,24,61
56,BSTM,n/a,26,13,17,56
102,BSTM,n/a,29,12,15,56
304,BSTM,n/a,26,16,12,54
256,BSTM,n/a,22,15,13,50
352,BSTM,n/a,20,14,16,50
157,BSTM,n/a,19,15,15,49
466,BSTM,n/a,19,15,14,48
150,BSTM,n/a,19,15,13,47
126,BSTM,n/a,15,14,15,44
552,BSTM,n/a,14,17,13,44
368,BSTM,n/a,16,16,11,43
610,BSTM,n/a,18,15,10,43
547,BSTM,n/a,17,13,11,41
553,BSTM,n/a,14,12,15,41
53,BSTM,n/a,12,13,15,40
383,BSTM,n/a,17,12,10,39
394,BSTM,n/a,15,10,13,38
77,BSTM,n/a,15,13,9,37
407,BSTM,n/a,12,12,12,36
